date,open,high,low,close,volume
2024-06-19,1422.55,1428.56,1406.66,1425.56,41262
2024-06-20,1424.56,1440.57,1422.56,1424.66,24711
2024-06-21,1425.06,1429.54,1394.78,1395.56,43320
2024-06-24,1347.56,1413.55,1338.57,1401.11,63840
2024-06-25,1401.56,1427.55,1401.56,1411.21,42098
2024-06-26,1404.56,1425.63,1402.36,1413.78,29570
2024-06-27,1416.56,1418.53,1392.56,1415.05,32822
2024-06-28,1404.56,1419.05,1388.56,1391.95,38582
2024-07-01,1393.44,1397.55,1352.56,1364.94,32161
2024-07-02,1357.56,1422.56,1357.56,1415.26,51853
2024-07-03,1423.56,1437.57,1412.58,1424.56,31573
2024-07-04,1429.56,1436.56,1405.69,1410.3,24380
2024-07-05,1403.56,1417.74,1374.56,1377.56,38829
2024-07-08,1367.56,1382.33,1343.7,1344.56,39527
2024-07-09,1344.56,1379.45,1334.66,1362.59,33621
2024-07-10,1363.81,1390.44,1359.56,1362.15,23763
2024-07-11,1374.53,1393.56,1364.77,1386.65,29020
2024-07-12,1397.57,1410.96,1390.01,1403.38,23386
2024-07-15,1394.56,1412.56,1394.56,1399.46,19176
2024-07-16,1400.56,1406.56,1389.61,1400.56,20316
2024-07-17,1400.66,1427.56,1394.58,1425.96,34311
2024-07-18,1424.06,1439.56,1417.09,1422.07,28870
2024-07-19,1415.37,1453.74,1408.57,1450.18,38943
2024-07-22,1449.59,1454.54,1416.21,1423.56,28543
2024-07-23,1423.56,1425.56,1379.56,1379.56,30944
2024-07-24,1374.76,1388.26,1359.56,1364.58,24123
2024-07-25,1364.58,1372.56,1344.57,1355.05,28347
2024-07-26,1355.05,1362.28,1335.46,1346.75,32354
2024-07-29,1339.56,1346.55,1322.56,1322.58,30869
2024-07-30,1310.54,1314.83,1285.86,1304.55,51779
2024-07-31,1297.66,1351.83,1297.66,1345.84,43272
2024-08-01,1342.56,1344.56,1309.26,1310.72,32038
2024-08-02,1298.16,1321.53,1298.16,1310.01,21928
2024-08-05,1313.44,1350.56,1310.08,1334.57,37736
2024-08-06,1346.56,1348.56,1318.57,1329.26,27444
2024-08-07,1330.06,1346.55,1322.86,1340.06,20622
2024-08-08,1335.56,1372.74,1333.56,1355.25,25131
2024-08-09,1384.59,1393.56,1361.36,1361.36,30138
2024-08-12,1354.56,1367.56,1351.14,1360.66,13632
2024-08-13,1357.56,1359.56,1336.57,1347.57,16308
2024-08-14,1347.57,1349.46,1336.58,1337.86,13414
2024-08-15,1329.59,1360.55,1328.51,1351.45,23039
2024-08-16,1351.35,1360.48,1341.57,1355.76,16455
2024-08-19,1356.56,1383.44,1349.56,1350.0,20433
2024-08-20,1354.46,1354.49,1338.56,1347.28,18591
2024-08-21,1344.56,1352.54,1340.25,1342.14,15092
2024-08-22,1340.56,1344.56,1324.57,1334.61,19527
2024-08-23,1332.56,1348.06,1330.68,1339.55,15320
2024-08-26,1341.56,1348.42,1327.71,1336.56,15628
2024-08-27,1336.56,1337.56,1325.67,1328.63,13657
2024-08-28,1328.63,1330.56,1299.56,1313.56,31664
2024-08-29,1304.56,1342.56,1304.56,1337.86,27472
2024-08-30,1337.56,1382.63,1329.56,1367.75,38739
2024-09-02,1354.56,1362.56,1319.56,1319.56,34135
